HH_NUM,SOCEC,CITY,PER_DESCcounter,CONFIGcounter,HOME_APPcounter,PETS_RECcounter,HH_INSTAcounter,HH_SIZEcounter,PER_NUM,AGE,SEX,REL_TO_HOH,WT_TYPE,DROPPED,PER_MIT,OCCUPATION,EDUCATION,UNIT_NUM,PROVIDER,CABLE_TV,PARA_ANT,sum[BW_TVCOLOR_TV],PROVEDOR_DE_CABLE,COLOR_TV,RADIO,TELEPHONE,SAMP_ST_D,N_PER
100037,1,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,57,2,2,1,0,1,3,3,,,,,,,,,,,
,,,,,,,,,2,33,1,4,1,0,2,3,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230814,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
100038,1,1,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,47,2,2,1,0,1,3,1,,,,,,,,,,,
,,,,,,,,,2,11,2,4,1,0,2,1,2,,,,,,,,,,,
,,,,,,,,,3,10,2,4,1,0,3,1,2,,,,,,,,,,,
,,,,,,,,,4,4,2,4,1,0,4,4,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,1,2,1,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230819,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
100039,3,1,9,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,37,1,1,1,0,1,3,7,,,,,,,,,,,
,,,,,,,,,2,38,2,3,1,0,2,3,7,,,,,,,,,,,
,,,,,,,,,3,12,2,4,1,0,3,1,2,,,,,,,,,,,
,,,,,,,,,4,10,2,4,1,0,4,1,2,,,,,,,,,,,
,,,,,,,,,5,2,1,4,1,0,5,5,1,,,,,,,,,,,
,,,,,,,,,6,35,2,5,1,0,6,3,7,,,,,,,,,,,
,,,,,,,,,7,66,2,5,1,0,7,4,4,,,,,,,,,,,
,,,,,,,,,8,62,1,5,1,0,8,4,4,,,,,,,,,,,
,,,,,,,,,9,43,1,5,1,0,9,4,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,4,2,4,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230821,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
100040,3,1,4,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,71,1,1,1,0,1,3,6,,,,,,,,,,,
,,,,,,,,,2,69,2,3,1,0,2,4,6,,,,,,,,,,,
,,,,,,,,,3,36,1,4,1,0,3,3,6,,,,,,,,,,,
,,,,,,,,,4,92,1,5,1,0,4,4,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,211,,,,,,,,,
